,Event,FP1,FP2,F3,F4,F7,F8,C3,C4,P3,P4,O1,O2,T3,T4,T5,T6,FZ,CZ,PZ
0,0,-1.1,8.7,18.8,-7.6,-8.1,-8.8,-6.7,9.9,-3.5,-3.2,-15.2,-14.2,-4.5,-8.4,-19.2,13.2,24.3,-4.3,-18.4
1,0,-1.3,7.5,20.5,-8.7,-7.6,-11.5,-8.0,9.5,-4.9,-5.8,-18.7,-11.8,-6.2,-11.2,-19.4,7.9,24.1,-4.9,-19.5
2,0,-2.7,7.1,20.4,-7.0,-8.0,-11.6,-6.7,10.1,-3.7,-6.6,-17.5,-6.8,-6.3,-11.6,-17.5,6.7,25.3,-4.6,-18.1
3,0,-4.4,7.5,19.2,-4.9,-9.5,-10.1,-5.6,10.0,-2.6,-6.4,-14.1,-7.0,-6.1,-10.0,-15.2,7.8,25.9,-5.4,-16.4
4,0,-5.0,8.2,19.0,-4.8,-11.0,-9.4,-5.8,9.2,-2.0,-4.3,-11.5,-6.5,-6.0,-7.9,-13.5,12.0,26.2,-6.4,-14.8
5,0,-4.5,8.2,20.8,-5.2,-10.8,-10.2,-4.8,9.0,-1.2,-1.4,-11.9,-3.0,-4.6,-7.2,-13.0,17.7,27.9,-5.0,-13.3
6,0,-3.2,7.6,24.1,-4.3,-7.7,-10.9,-2.1,8.6,-1.4,-2.5,-15.8,-3.5,-1.2,-8.6,-13.3,17.9,29.6,-2.9,-13.0
7,0,-1.8,7.3,26.6,-3.6,-5.1,-10.7,-0.5,6.1,-3.4,-8.4,-20.2,-7.9,0.6,-10.5,-13.8,11.3,28.9,-3.6,-14.9
8,0,-2.6,7.2,25.8,-5.1,-7.6,-10.8,-1.8,2.5,-6.3,-14.2,-22.3,-12.5,-1.1,-11.9,-14.5,5.6,26.0,-6.4,-18.0
9,0,-5.2,6.7,22.4,-7.2,-12.7,-10.6,-4.2,1.3,-7.2,-15.7,-22.1,-18.6,-3.2,-13.0,-14.9,6.2,23.7,-8.0,-19.7
10,0,-7.1,6.5,19.1,-8.0,-14.5,-9.8,-6.6,2.4,-5.2,-13.9,-19.8,-23.9,-3.5,-13.1,-14.1,9.5,23.0,-8.1,-19.1
